response_id,ticket_id,account_id,score,comment,submitted_at
CSAT-0001,SUP-1008,ACCT-1025,2,Took too long for something this basic.,2026-01-08T13:36:33Z
CSAT-0002,SUP-1038,ACCT-1006,3,"Resolved, but I had to explain twice.",2026-01-25T12:26:43Z
CSAT-0003,SUP-1064,ACCT-1020,4,Helpful once escalated.,2026-02-20T20:04:39Z
CSAT-0004,SUP-1052,ACCT-1021,5,Solved on the first reply.,2026-02-24T10:00:33Z
CSAT-0005,SUP-1001,ACCT-1011,3,Okay. Docs should have covered this.,2026-03-02T08:41:08Z
CSAT-0006,SUP-1042,ACCT-1001,4,Clear updates throughout.,2026-03-13T16:30:00Z
CSAT-0007,SUP-1056,ACCT-1019,4,Helpful once escalated.,2026-04-10T14:23:30Z
CSAT-0008,SUP-1066,ACCT-1022,3,Okay. Docs should have covered this.,2026-04-13T02:47:25Z
CSAT-0009,SUP-1059,ACCT-1003,4,Helpful once escalated.,2026-05-01T03:21:22Z
CSAT-0010,SUP-1049,ACCT-1004,1,Issue closed without actually being fixed.,2026-05-03T09:44:10Z
CSAT-0011,SUP-1005,ACCT-1023,3,Okay. Docs should have covered this.,2026-05-14T20:11:06Z
CSAT-0012,SUP-1009,ACCT-1007,3,Okay. Docs should have covered this.,2026-05-18T20:34:52Z
CSAT-0013,SUP-1053,ACCT-1010,5,Excellent follow-through.,2026-06-07T12:41:37Z
CSAT-0014,SUP-1003,ACCT-1004,5,Excellent follow-through.,2026-06-18T11:53:00Z
CSAT-0015,SUP-1012,ACCT-1021,4,Helpful once escalated.,2026-06-24T04:29:27Z
