customer_name,current_usd,days_1_30_usd,days_31_60_usd,days_61_90_usd,days_90_plus_usd,total_usd
Atlas Freight.,0.00,4500.00,0.00,0.00,0.00,4500.00
"Brightwater Utilities, Inc",0.00,4500.00,0.00,0.00,0.00,4500.00
Harborview Hospitality Inc.,0.00,1200.00,0.00,0.00,0.00,1200.00
Kestrel Health Inc.,0.00,12500.00,0.00,0.00,0.00,12500.00
Larkspur Biotech Inc.,0.00,1200.00,0.00,0.00,0.00,1200.00
Lumen Cinemas.,0.00,299.00,0.00,0.00,0.00,299.00
Redwood Robotics,0.00,1200.00,0.00,0.00,0.00,1200.00
SABLE FINANCIAL,0.00,12500.00,0.00,0.00,12500.00,25000.00
Vantage Legal.,0.00,299.00,0.00,0.00,0.00,299.00
Verdant Agritech LLC,0.00,299.00,0.00,0.00,0.00,299.00
