Acme Analytics — Q1 2026 Budget vs Actual,,,,
,,,,
Prepared by grace.adeyemi, 2026-04-08,,,,
Department,Budget,Actual,Variance,Notes
Engineering - Platform,"$620,000","$648,300","$28,300",over on contractor spend
Engineering - Data,"$410,000","$401,200","-$8,800",under
Engineering subtotal,"$1,030,000","$1,049,500","$19,500",
Sales,"$540,000","$512,750","-$27,250",
Marketing,"$310,000","$333,900","$23,900",event overrun
Customer Success,"$285,000","$279,400","-$5,600",
G&A - Finance,"$140,000","$138,200","-$1,800",
G&A - People,"$120,000","$131,050","$11,050",new recruiter
G&A - Legal,"$95,000","$127,600","$32,600","SOC 2 counsel *"
G&A subtotal,"$355,000","$396,850","$41,850",
,,,,
TOTAL,"$2,520,000","$2,622,400","$102,400",
* excludes SOC 2 one-time fees,,,,
** Q1 reflects INC-2026-0311 remediation,,,,
