subscription_id,customer_id,plan,mrr_usd,seats,started_at,canceled_at,billing_cycle
5001,1,enterprise,12500,257,2023-04-26,,annual
5002,2,enterprise,12500,257,2023-09-10,,annual
5003,3,scale,4500,80,2023-06-16,,annual
5004,4,scale,4500,78,2023-04-12,,annual
5005,5,scale,4500,77,2025-07-30,,annual
5006,6,scale,4500,84,2025-04-06,,annual
5007,7,scale,4500,60,2024-01-20,2026-02-28,annual
5008,7,growth,1200,24,2026-03-01,,annual
5009,8,growth,1200,21,2024-03-28,,monthly
5010,9,growth,1200,21,2024-07-03,,monthly
5011,10,growth,1200,29,2025-10-22,,annual
5012,11,scale,4500,77,2024-09-11,,annual
5013,12,enterprise,12500,259,2023-09-29,,annual
5014,13,enterprise,12500,254,2023-08-14,,annual
5015,14,growth,1200,28,2024-01-13,,monthly
5016,15,scale,4500,78,2023-04-27,,annual
5017,16,growth,1200,25,2023-04-05,,monthly
5018,17,starter,299,5,2023-06-06,,monthly
5019,18,scale,4500,78,2024-12-12,,annual
5020,19,starter,299,10,2023-07-15,,annual
5021,20,scale,4500,60,2025-02-22,2026-02-28,monthly
5022,20,growth,1200,29,2026-03-01,,monthly
5023,21,starter,299,5,2025-05-20,,annual
5024,22,growth,1200,20,2025-07-14,,monthly
5025,23,starter,299,6,2024-12-13,,annual
5026,24,growth,1200,25,2025-11-04,,annual
5027,25,starter,299,10,2025-06-12,,monthly
