week_start,company_domain,sessions,pageviews,trial_signups
2026-01-05,atlas-freight.example,8,24,0
2026-01-05,blackwater-ventures.example,53,159,0
2026-01-05,bluewater-logistics.example,38,228,0
2026-01-05,brightwater-utilities.example,52,312,0
2026-01-05,cascadia-outfitters.example,55,275,0
2026-01-05,cobalt-games.example,49,245,0
2026-01-05,greyloch-systems.example,19,57,0
2026-01-05,harborview-hospitality.example,13,39,0
2026-01-05,juniper-foods.example,53,106,0
2026-01-05,kestrel-health.example,40,200,0
2026-01-05,larkspur-biotech.example,54,162,0
2026-01-05,lumen-cinemas.example,58,348,0
2026-01-05,meridian-energy.example,50,300,0
2026-01-05,nimbus-media.example,23,92,0
2026-01-05,northgate-security.example,6,18,0
2026-01-05,orchard-retail-group.example,56,280,0
2026-01-05,quill-sable-publishing.example,32,64,3
2026-01-05,redwood-robotics.example,42,126,0
2026-01-05,sable-financial.example,60,240,0
2026-01-05,silverquay-holdings.example,15,30,0
2026-01-05,stonebridge-construction.example,18,36,0
2026-01-05,vantage-legal.example,45,180,1
2026-01-05,verdant-agritech.example,59,354,0
2026-01-12,atlas-freight.example,12,24,0
2026-01-12,bluewater-logistics.example,42,252,0
2026-01-12,brightwater-utilities.example,29,174,1
2026-01-12,cascadia-outfitters.example,38,228,0
2026-01-12,copperline-telecom.example,11,55,0
2026-01-12,duskmoor-collective.example,33,165,0
2026-01-12,halcyon-travel.example,50,100,0
2026-01-12,harborview-hospitality.example,15,30,0
2026-01-12,ironwood-furniture.example,52,260,0
2026-01-12,juniper-foods.example,39,117,0
2026-01-12,kestrel-health.example,11,44,0
2026-01-12,larkspur-biotech.example,11,33,0
2026-01-12,lumen-cinemas.example,4,8,0
2026-01-12,nimbus-media.example,30,90,0
2026-01-12,northgate-security.example,24,144,0
2026-01-12,pinewood-insurance.example,17,102,0
2026-01-12,quill-sable-publishing.example,23,69,0
2026-01-12,ravenscar-analytics.example,24,144,0
2026-01-12,redwood-robotics.example,4,12,0
2026-01-12,stonebridge-construction.example,43,258,0
2026-01-12,vantage-legal.example,53,106,0
2026-01-19,ashenford-dynamics.example,47,282,0
2026-01-19,atlas-freight.example,19,114,0
2026-01-19,bluewater-logistics.example,12,60,0
2026-01-19,brightwater-utilities.example,14,42,1
2026-01-19,cobalt-games.example,57,171,0
2026-01-19,ferrostar-manufacturing.example,31,62,0
2026-01-19,halcyon-travel.example,6,36,0
2026-01-19,ironwood-furniture.example,23,46,0
2026-01-19,juniper-foods.example,7,35,1
2026-01-19,kestrel-health.example,20,40,0
2026-01-19,larkspur-biotech.example,25,100,0
2026-01-19,lumen-cinemas.example,49,98,0
2026-01-19,marrowbrook-labs.example,22,66,0
2026-01-19,nimbus-media.example,18,108,0
2026-01-19,pinewood-insurance.example,30,60,0
2026-01-19,quill-sable-publishing.example,48,288,0
2026-01-19,ravenscar-analytics.example,20,40,0
2026-01-19,stonebridge-construction.example,9,18,0
2026-01-19,vantage-legal.example,5,25,1
2026-01-19,verdant-agritech.example,17,85,0
2026-01-26,atlas-freight.example,25,150,0
2026-01-26,bluewater-logistics.example,53,159,0
2026-01-26,cascadia-outfitters.example,36,108,0
2026-01-26,cobalt-games.example,60,360,0
2026-01-26,copperline-telecom.example,30,180,0
2026-01-26,ferrostar-manufacturing.example,38,152,0
2026-01-26,halcyon-travel.example,58,232,0
2026-01-26,harborview-hospitality.example,55,165,1
2026-01-26,ironwood-furniture.example,22,132,0
2026-01-26,kestrel-health.example,20,120,0
2026-01-26,larkspur-biotech.example,36,72,0
2026-01-26,meridian-energy.example,36,144,0
2026-01-26,nimbus-media.example,6,36,0
2026-01-26,northgate-security.example,28,84,0
2026-01-26,orchard-retail-group.example,39,234,0
2026-01-26,pinewood-insurance.example,10,60,0
2026-01-26,redwood-robotics.example,12,24,1
2026-01-26,sable-financial.example,55,165,0
2026-01-26,stonebridge-construction.example,40,160,0
2026-01-26,thornfield-partners.example,10,20,0
2026-01-26,vantage-legal.example,18,90,0
2026-01-26,verdant-agritech.example,52,104,0
2026-02-02,bluewater-logistics.example,6,18,0
2026-02-02,cascadia-outfitters.example,28,112,0
2026-02-02,copperline-telecom.example,33,198,0
2026-02-02,ferrostar-manufacturing.example,34,136,0
2026-02-02,halcyon-travel.example,14,56,0
2026-02-02,juniper-foods.example,20,40,0
2026-02-02,kestrel-health.example,23,115,0
2026-02-02,larkspur-biotech.example,50,300,0
2026-02-02,lumen-cinemas.example,52,208,0
2026-02-02,meridian-energy.example,23,138,0
2026-02-02,netherby-solutions.example,4,8,2
2026-02-02,northgate-security.example,16,32,0
2026-02-02,orchard-retail-group.example,38,114,0
2026-02-02,redwood-robotics.example,44,88,0
2026-02-02,sable-financial.example,6,18,0
2026-02-02,silverquay-holdings.example,14,84,0
2026-02-02,stonebridge-construction.example,21,126,0
2026-02-02,verdant-agritech.example,12,48,0
2026-02-02,wexford-trading.example,40,80,0
2026-02-09,bluewater-logistics.example,40,160,1
2026-02-09,brightwater-utilities.example,45,180,2
2026-02-09,cascadia-outfitters.example,11,33,0
2026-02-09,cobalt-games.example,4,12,1
2026-02-09,copperline-telecom.example,52,312,2
2026-02-09,duskmoor-collective.example,44,264,0
2026-02-09,ferrostar-manufacturing.example,11,66,0
2026-02-09,harborview-hospitality.example,58,116,0
2026-02-09,ironwood-furniture.example,39,117,0
2026-02-09,juniper-foods.example,32,160,0
2026-02-09,kestrel-health.example,31,186,1
2026-02-09,kirkwall-industries.example,24,144,0
2026-02-09,larkspur-biotech.example,59,118,0
2026-02-09,lumen-cinemas.example,60,300,0
2026-02-09,meridian-energy.example,6,18,0
2026-02-09,orchard-retail-group.example,18,90,0
2026-02-09,pinewood-insurance.example,46,230,0
2026-02-09,quill-sable-publishing.example,26,156,0
2026-02-09,redwood-robotics.example,45,135,3
2026-02-09,stonebridge-construction.example,33,66,0
2026-02-09,thornfield-partners.example,23,115,0
2026-02-09,vantage-legal.example,45,270,1
2026-02-16,atlas-freight.example,9,18,0
2026-02-16,blackwater-ventures.example,49,147,0
2026-02-16,bluewater-logistics.example,18,54,2
2026-02-16,brightwater-utilities.example,34,204,2
2026-02-16,cobalt-games.example,36,72,0
2026-02-16,copperline-telecom.example,19,57,0
2026-02-16,duskmoor-collective.example,5,10,0
2026-02-16,ferrostar-manufacturing.example,19,114,0
2026-02-16,halcyon-travel.example,27,54,0
2026-02-16,harborview-hospitality.example,4,20,0
2026-02-16,juniper-foods.example,23,138,0
2026-02-16,kestrel-health.example,23,46,0
2026-02-16,larkspur-biotech.example,20,120,0
2026-02-16,lumen-cinemas.example,9,18,0
2026-02-16,meridian-energy.example,43,129,1
2026-02-16,northgate-security.example,14,84,3
2026-02-16,orchard-retail-group.example,39,195,0
2026-02-16,quill-sable-publishing.example,58,348,0
2026-02-16,sable-financial.example,60,180,0
2026-02-23,atlas-freight.example,22,110,0
2026-02-23,brightwater-utilities.example,20,60,0
2026-02-23,cascadia-outfitters.example,34,170,1
2026-02-23,halcyon-travel.example,42,210,0
2026-02-23,harborview-hospitality.example,30,90,0
2026-02-23,hollowmere-group.example,7,42,0
2026-02-23,juniper-foods.example,20,60,0
2026-02-23,kestrel-health.example,25,100,0
2026-02-23,larkspur-biotech.example,20,100,1
2026-02-23,meridian-energy.example,27,54,0
2026-02-23,netherby-solutions.example,46,138,0
2026-02-23,northgate-security.example,41,205,0
2026-02-23,orchard-retail-group.example,32,160,1
2026-02-23,pinewood-insurance.example,3,12,0
2026-02-23,quill-sable-publishing.example,8,40,1
2026-02-23,sable-financial.example,39,78,0
2026-02-23,stonebridge-construction.example,3,6,0
2026-02-23,thornfield-partners.example,29,116,0
2026-02-23,vantage-legal.example,29,174,0
2026-02-23,verdant-agritech.example,18,90,1
2026-03-02,atlas-freight.example,47,235,0
2026-03-02,cascadia-outfitters.example,37,185,0
2026-03-02,cobalt-games.example,39,234,0
2026-03-02,copperline-telecom.example,54,162,0
2026-03-02,ferrostar-manufacturing.example,51,102,0
2026-03-02,hollowmere-group.example,35,140,0
2026-03-02,ironwood-furniture.example,49,196,0
2026-03-02,kestrel-health.example,9,45,0
2026-03-02,kirkwall-industries.example,58,116,0
2026-03-02,larkspur-biotech.example,44,88,1
2026-03-02,lumen-cinemas.example,8,32,1
2026-03-02,meridian-energy.example,31,155,0
2026-03-02,netherby-solutions.example,44,132,0
2026-03-02,nimbus-media.example,54,324,0
2026-03-02,orchard-retail-group.example,28,112,0
2026-03-02,quill-sable-publishing.example,16,48,1
2026-03-02,redwood-robotics.example,40,240,0
2026-03-02,sable-financial.example,12,24,0
2026-03-02,stonebridge-construction.example,7,28,0
2026-03-02,thornfield-partners.example,51,306,0
2026-03-02,vantage-legal.example,49,294,0
2026-03-02,wexford-trading.example,17,68,1
2026-03-09,atlas-freight.example,12,24,0
2026-03-09,bluewater-logistics.example,49,245,0
2026-03-09,brightwater-utilities.example,60,300,0
2026-03-09,cascadia-outfitters.example,24,48,0
2026-03-09,copperline-telecom.example,40,80,0
2026-03-09,greyloch-systems.example,49,294,0
2026-03-09,halcyon-travel.example,34,68,1
2026-03-09,harborview-hospitality.example,57,228,0
2026-03-09,hollowmere-group.example,13,39,0
2026-03-09,ironwood-furniture.example,29,87,0
2026-03-09,kestrel-health.example,6,30,0
2026-03-09,meridian-energy.example,35,70,3
2026-03-09,northgate-security.example,55,330,0
2026-03-09,pinewood-insurance.example,55,275,0
2026-03-09,quill-sable-publishing.example,57,285,0
2026-03-09,redwood-robotics.example,52,208,0
2026-03-09,sable-financial.example,28,84,0
2026-03-09,silverquay-holdings.example,9,18,0
2026-03-16,bluewater-logistics.example,36,108,0
2026-03-16,brightwater-utilities.example,13,39,0
2026-03-16,cascadia-outfitters.example,15,60,0
2026-03-16,cobalt-games.example,22,66,0
2026-03-16,copperline-telecom.example,36,180,0
2026-03-16,ferrostar-manufacturing.example,10,30,0
2026-03-16,greyloch-systems.example,17,51,0
2026-03-16,harborview-hospitality.example,11,66,3
2026-03-16,kestrel-health.example,12,48,0
2026-03-16,lumen-cinemas.example,38,190,1
2026-03-16,marrowbrook-labs.example,12,72,0
2026-03-16,meridian-energy.example,35,105,0
2026-03-16,netherby-solutions.example,60,240,0
2026-03-16,nimbus-media.example,53,212,0
2026-03-16,northgate-security.example,54,108,0
2026-03-16,orchard-retail-group.example,8,24,1
2026-03-16,pinewood-insurance.example,22,110,0
2026-03-16,quill-sable-publishing.example,41,205,0
2026-03-16,redwood-robotics.example,32,192,1
2026-03-16,sable-financial.example,38,228,0
2026-03-16,silverquay-holdings.example,6,12,0
2026-03-16,vantage-legal.example,18,108,0
2026-03-16,verdant-agritech.example,5,30,0
2026-03-23,ashenford-dynamics.example,28,168,0
2026-03-23,atlas-freight.example,55,330,0
2026-03-23,brightwater-utilities.example,6,36,0
2026-03-23,cobalt-games.example,27,162,0
2026-03-23,copperline-telecom.example,55,330,0
2026-03-23,duskmoor-collective.example,11,55,0
2026-03-23,ferrostar-manufacturing.example,9,45,0
2026-03-23,ironwood-furniture.example,13,39,0
2026-03-23,kirkwall-industries.example,36,72,0
2026-03-23,lumen-cinemas.example,45,225,0
2026-03-23,nimbus-media.example,18,72,1
2026-03-23,northgate-security.example,26,130,0
2026-03-23,orchard-retail-group.example,56,280,0
2026-03-23,pinewood-insurance.example,44,220,0
2026-03-23,quill-sable-publishing.example,49,245,0
2026-03-23,redwood-robotics.example,55,165,2
2026-03-23,sable-financial.example,19,76,0
2026-03-23,stonebridge-construction.example,59,118,0
2026-03-23,vantage-legal.example,7,21,0
2026-03-23,verdant-agritech.example,41,123,1
2026-03-30,atlas-freight.example,54,270,1
2026-03-30,blackwater-ventures.example,57,114,0
2026-03-30,cascadia-outfitters.example,15,45,0
2026-03-30,cobalt-games.example,29,116,0
2026-03-30,copperline-telecom.example,6,30,1
2026-03-30,duskmoor-collective.example,7,42,0
2026-03-30,ferrostar-manufacturing.example,57,228,0
2026-03-30,greyloch-systems.example,6,30,0
2026-03-30,halcyon-travel.example,12,24,0
2026-03-30,harborview-hospitality.example,29,145,0
2026-03-30,hollowmere-group.example,21,126,0
2026-03-30,ironwood-furniture.example,18,108,0
2026-03-30,juniper-foods.example,19,38,0
2026-03-30,kirkwall-industries.example,41,123,0
2026-03-30,larkspur-biotech.example,36,144,0
2026-03-30,meridian-energy.example,34,136,1
2026-03-30,northgate-security.example,49,196,0
2026-03-30,pinewood-insurance.example,37,148,0
2026-03-30,redwood-robotics.example,56,336,1
2026-03-30,sable-financial.example,23,138,0
2026-03-30,stonebridge-construction.example,22,44,0
2026-03-30,vantage-legal.example,24,120,0
2026-03-30,verdant-agritech.example,12,24,0
2026-03-30,wexford-trading.example,19,38,1
2026-04-06,ashenford-dynamics.example,35,70,0
2026-04-06,atlas-freight.example,37,222,0
2026-04-06,bluewater-logistics.example,51,153,1
2026-04-06,brightwater-utilities.example,22,66,0
