week_start,tickets_opened,tickets_resolved,urgent_or_high_opened,distinct_accounts_opened
2026-01-05,4,2,0,4
2026-01-12,0,0,0,0
2026-01-19,2,1,1,2
2026-01-26,4,0,0,4
2026-02-02,1,2,1,1
2026-02-09,4,0,1,4
2026-02-16,7,5,2,6
2026-02-23,2,1,0,2
2026-03-02,0,1,0,0
2026-03-09,5,2,1,5
2026-03-16,1,2,1,1
2026-03-23,0,0,0,0
2026-03-30,1,0,1,1
2026-04-06,3,2,2,3
2026-04-13,0,0,0,0
2026-04-20,2,0,1,2
2026-04-27,3,3,1,3
2026-05-04,5,0,3,5
2026-05-11,2,2,0,2
2026-05-18,0,0,0,0
2026-05-25,1,0,0,1
2026-06-01,2,2,1,2
2026-06-08,4,2,0,4
2026-06-15,3,2,1,3
2026-06-22,4,1,1,4
2026-06-29,0,0,0,0
